Item;Descrição (Item);Subgrupo (Código);item que tem tipo 2;item 1 que esta em ped
1403K;JAIC - CALCA ELAST TOTAL - UNITECH 5001 BRANCO - CONF1;107;s;#N/D
1425K;KURITA - CALCA MEIO ELAST RETARD - UNIFORTE FR 1018 MARINHO - CONF1;109;s;#N/D
1427K;TFG - CALCA ELAST TOTAL - UNIFORTE 1016 PTO - CONF1;107;s;#N/D
1428D;FIBRAPLAC - CALCA COS INTEIRO - TECHNO RIP STOP 723 BEGE - CONF;102;s;#N/D
1432K;MARFRIG - CALCA MEIO ELAST - UNILESTER 2001 BRANCO - CONF1;101;s;#N/D
1436H;EATON - CALCA MOD JEANS MEIO ELAS MASC - CEDROPAC II 8047 CZ - CONF1AA;104;s;#N/D
1437J;POSTO COMB APOLO 3 - CALCA ELAST TOTAL - PIED POULE - CONF1;100;s;#N/D
1443K;PREF DE JAHU - CALCA COS INTEIRO FEM - UNILESTER 2016 PTO - CONF1;102;s;#N/D
1447I;ALIBEM - CALCA ELAST TOTAL RETARD - CEDROTECH FR 5098 AZ RY - CONF1;109;s;#N/D
1457K;INCOFIOS - CALCA RETARD CHAMAS - CEDROTECH  FR 8047 CZ - CONF1;109;s;#N/D
1458E;MARQUETTO - CALCA MOD JEANS FEM - POLYCEDRO BRIM 4617 VERDE - CONF1;105;s;#N/D
1465I;RECILA - CALCA ELAST TOTAL - UNILEVE 1016 PRETO - CONF1;107;s;#N/D
1469K;CAPAL - CALCA ELAST TOTAL - SARJA 250GR 6088 VERDE - CONF1;107;s;#N/D
1476J;ALIANCA - CALCA MEIO ELAST - UNIFORTE 1002 CZA - CONF1;101;s;#N/D
1479K;MS - CALCA MEO ELAST FEM - UNILESTER 2050 CZ - CONF1;101;s;#N/D
1486I;ALIBEM - CALCA ELASTICO TOTAL RETARD - UNISAFE SLIM FR 1014 AZ - CONF1;109;s;#N/D
1487K;SINDUS - CALCA COS INTEIRO - POLYCEDROBRIM 5228 MARINHO - CONF1;102;s;#N/D
1488I;MOA - CALCA JEANS MASC - JEANS IGOR 10OZ - CONF1;104;s;#N/D
1488J;POSTO MARTINEZ - CALCA MEIO ELAST - UNILESTER SOFT 2050 CZ - CONF1;102;s;#N/D
1492F;BOTUCARAI - CALCA ELAST TOTAL - UNILEVE 1002 CINZA - CONF;100;s;#N/D
1492K;PREF IBIRAMA - CALCA ELAST TOTAL C CORDAO -SARJA LIDER 8260 CZ - CONF1;107;s;#N/D
1493K;CISAMVI - ELAST TOTAL COM CORDAO - UNIVERSAL 1021 CAQUI - CONF1;107;s;#N/D
1494K;PLANENG - CALCA ELAST TOTAL RETARD - UNIFORTE FR 1018 MARINHO - CONF1;108;s;#N/D
1497B;COMB SILVEIRA - CALCA MEIO ELAST - UNIFORTE 1043 VERD - CONF1;101;s;#N/D
1498J;FRAS LE - CALCA ELAST TOTA L - MED ESP - UNIFORTE 1003 AZ CEL- CONF1;107;s;#N/D
1500I;SANEP - CALCA MEIO ELAST - CEDROTECH C REFLE VERD - 8047 CINZA - CONF1;108;s;#N/D
1500ZZ;PETROBRAS - CALCA MEIO ELAST - UNILESTER SOFT 2050 CINZA - CONF1;101;s;#N/D
1501F;ALIBEM - CALCA ELASTICO TOTAL RETARD - UNISAFE SLIM FR 1014 AZ - CONF;109;s;#N/D
1501I;ALL4LABELS  - CALCA MEIO ELAST RETAR - UNISAFE SLIM 1018 MARIN - CONF1;108;s;#N/D
1502ZZ;PETROBRAS - CAMISA OPER MC - UNICOMFORT FLEX 6222 VERDE - CONF1A;203;s;#N/D
1503K;BNO COMERCIO  - CALCA MEIO ELAST - UNITECH 5053 CINZA - CONF1;101;s;#N/D
1504ZZ;PETROBRAS - JAQUETA FRENT/GERENTE UNISSEX - UNILETER 2261 VD - CONF1;500;s;#N/D
1505K;IRMAOS - CALCA RETARD MEIO ELAST - CEDROTECH FR 5098 AZ RY - CONF1;108;s;#N/D
1505ZZ;PETROBRAS - MOLETON FRENT/GERENTE UNISSEX - FELPADO VERDE  - CONF1;914;s;#N/D
1506ZZ;PETROBRAS - CAMISA GERENTE PISTA MASC MC - UNICOMFORT 6223 VD - CONF1A;203;s;#N/D
1507ZZ;PETROBRAS - CAMISA OPER ML - UNICOMFORT FLEX 6223 VD BANDEIRA - CONF1;203;s;#N/D
1511K;SETUP - CALCA MEIO ELAST - UNIFORTE 1009 CZ - CONF1;101;s;#N/D
1512ZZ;PETROBRAS - CAMISA FRENT SIGA BEM MASC MC - UNICOMFORT 6222 VD - CONF1;203;s;#N/D
1513K;CHARRUA - BERMUDA MEIO ELAST - UNILESTER SOFT 2050 CINZA - CONF1;100;s;#N/D
1513ZZ;PETROBRAS - CAMISETE FRENT SIGA BEM MC - UNICOMFORT 6222 VD - CONF1A;204;s;#N/D
1515K;PARATI - CALCA ELAST TOTAL - RETARD CHAMAS - CEDROTECH 5098 AZ - CONF1;108;s;#N/D
1516ZZ;PETROBRAS - CAMISA LUBRAX MASC MC - UNICOMFORT 6222 VD - CONF1A;203;s;#N/D
1517K;MJ - CALCA COS INTEIRO - 100%PES PVC REP 04 AZ RY - CONF1;102;s;#N/D
1519F;ENGEPAN - CALCA RETARD CHAMAS MEIO ELAST UNIFORTE FR 1009 CZ - CONF;109;s;#N/D
1524H;DASAN - CALCA RETART CHAMAS MED ESPECIAL - UNIFORTE FR 1009 CZA - CONF;109;s;#N/D
1524ZZ;PETROBRAS - CAMISETE GERENTE PISTA ML - UNICOMFORT 6223 VD - CONF1;204;s;#N/D
1525ZZ;PETROBRAS - CAMISETE GERENTE PISTA  MC - UNICOMFORT 6223 VD - CONF1A;204;s;#N/D
1526ZZ;PETROBRAS - CAMISA ATEND PISTA MASC ML - UNICOMFORT 6222 VD - CONF1;203;s;#N/D
1532J;HELEVAR - CALCA RETARD MEIO ELAST - CEDROTECH 5098 AZ RY - CONF1;109;s;#N/D
1532K;AKER SOLUTIONS - CALCA ELAST TOTAL - POLICEDROBRIM SUPER 1052  - CONF1;107;s;#N/D
1533J;PREF DE CONCORDIA - CALCA COS INT - CEDRO RIP STOP 2018 AZ - CONF1;102;s;#N/D
1535K;GRAMADO TERMAS- BER SOCIAL FEM DOPTEL PLUS 001-1223-BLUE NIGHT CONF1;116;s;#N/D
1536ZZ;PETROBRAS - MOLETON LUBRAX/GERENTE UNISSEX - FELPADO VERDE  - CONF1;914;s;#N/D
1540ZZ;PETROBRAS - CAMISETE LUBRAX MC - UNICOMFORT 6222 VD - CONF1A;204;s;#N/D
1546K;SUSPENSYS - BERMUDA MEIO ELAS MASC - UNIFORTE 1003 AZ CELESTE - CONF1;111;s;#N/D
1547F;AUTOMASAFETY - CALCA  RETARD CHAMAS - CEDRETECH 8047 CINZA - CONF;109;s;#N/D
1548K;CROSS - CALCA MEIO ELAST RETARD - CEDROTECH 8047 CINZA - CONF1;108;s;#N/D
1558F;MINUANO ALIM - CALCA RETARD MEIO ELAST - CEDROTECH 8047 CINZA - CONF;109;s;#N/D
1559J-CTO;CONSERTO - NB - CALCA MOD JEANS FEM - JEANS IGOR VICUNHA -  CONF1;105;s;#N/D
1560ZZ;PETROBRAS - JAQUETA LUBRAX UNISSEX - UNILETER 2261 VD - CONF1;500;s;#N/D
1561J-CTO;CONSERTO - NB - CALCA MEIO ELAST MASC -  JEANS IGOR VICUNHA -  CONF1;101;s;#N/D
1561ZZ;PETROBRAS - JAQUETA FRENT SIGA BEM UNISSEX - UNILESTER 2261 VD - CONF1;500;s;#N/D
1564J;SEG AUTOMOTIVE - CALCA MEIO ELAST - UNISAFE SLIM 1021 CAQI - CONF1;109;s;#N/D
